Item_ID,Category,Price
Item_1,Sports,241.2301111111111
Item_10,Sports,260.26104477611943
Item_100,Movies,228.92396551724138
Item_1000,Home,248.93975308641973
Item_1001,Home,233.03333333333333
Item_1002,Electronics,275.2080281690141
Item_1003,Movies,243.44970149253732
Item_1004,Movies,229.24213333333333
Item_1005,Electronics,251.75604938271607
Item_1006,Electronics,231.94467741935483
Item_1007,Beauty,242.81184210526317
Item_1008,Sports,271.383125
Item_1009,Home,274.63042253521127
Item_101,Electronics,248.41153846153847
Item_1010,Sports,250.69287500000002
Item_1011,Movies,255.96773333333337
Item_1012,Books,260.49089743589747
Item_1013,Home,270.31491803278686
Item_1014,Sports,223.74
Item_1015,Electronics,265.40285714285716
Item_1016,Sports,261.5727027027027
Item_1017,Beauty,233.9075
Item_1018,Music,250.600989010989
Item_1019,Music,277.75943661971826
Item_102,Games,255.4391891891892
Item_1020,Beauty,238.4472463768116
Item_1021,Sports,281.3805479452055
Item_1022,Home,253.5246511627907
Item_1023,Sports,224.1008791208791
Item_1024,Games,248.015
Item_1025,Books,225.00130952380954
Item_1026,Music,252.09697674418604
Item_1027,Sports,260.9193243243243
Item_1028,Home,274.1794520547945
Item_1029,Electronics,223.93628571428573
Item_103,Books,265.8713432835821
Item_1030,Electronics,255.3808333333333
Item_1031,Electronics,247.6561818181818
Item_1032,Sports,243.40013513513514
Item_1033,Beauty,260.09945945945947
Item_1034,Home,244.53282051282054
Item_1035,Books,269.73805970149255
Item_1036,Clothing,210.75561643835616
Item_1037,Books,250.25767441860464
Item_1038,Music,229.59276923076925
Item_1039,Home,223.0767073170732
Item_104,Games,235.98864864864865
Item_1040,Electronics,239.85605263157896
Item_1041,Books,242.166301369863
Item_1042,Books,284.19414634146347
Item_1043,Home,251.92710843373496
Item_1044,Sports,236.21716417910446
Item_1045,Home,258.1903947368421
Item_1046,Music,236.08554347826086
Item_1047,Home,244.428
Item_1048,Books,242.77077777777777
Item_1049,Home,254.84681818181818
Item_105,Sports,237.31712499999998
Item_1050,Home,235.28036363636363
Item_1051,Sports,255.56214285714285
Item_1052,Books,238.11950617283952
Item_1053,Music,255.954875
Item_1054,Movies,228.6091935483871
Item_1055,Movies,249.9992682926829
Item_1056,Beauty,235.6522988505747
Item_1057,Home,217.04460526315788
Item_1058,Movies,257.9525
Item_1059,Music,281.23154929577464
Item_106,Electronics,231.45102564102564
Item_1060,Music,229.9251282051282
Item_1061,Clothing,260.13694736842103
Item_1062,Movies,251.48058823529414
Item_1063,Beauty,267.6377049180328
Item_1064,Sports,232.8355844155844
Item_1065,Music,292.70115942028986
Item_1066,Sports,262.47954022988506
Item_1067,Beauty,248.69325581395347
Item_1068,Music,246.871797752809
Item_1069,Home,222.95066666666665
Item_107,Sports,239.0677049180328
Item_1070,Books,254.560447761194
Item_1071,Home,253.09756756756758
Item_1072,Beauty,269.1011235955056
Item_1073,Home,263.80536585365854
Item_1074,Movies,246.82115384615386
Item_1075,Movies,252.84293333333335
Item_1076,Clothing,252.64908045977012
Item_1077,Movies,232.24599999999998
Item_1078,Beauty,282.16999999999996
Item_1079,Beauty,252.56133333333335
Item_108,Sports,250.62806451612903
Item_1080,Games,240.0809523809524
Item_1081,Home,263.66487179487183
Item_1082,Movies,254.84561643835616
Item_1083,Electronics,237.05616438356162
Item_1084,Sports,272.1934328358209
Item_1085,Movies,241.03088235294115
Item_1086,Beauty,247.16927536231884
Item_1087,Movies,258.68984615384613
Item_1088,Sports,265.52458333333334
Item_1089,Home,265.1627160493827
Item_109,Beauty,261.6985185185185
Item_1090,Movies,273.5852564102564
Item_1091,Games,245.93
Item_1092,Beauty,233.19454545454545
Item_1093,Clothing,258.1651612903226
Item_1094,Beauty,256.0907407407407
Item_1095,Books,253.9702564102564
Item_1096,Music,257.3375675675676
Item_1097,Games,264.44119402985075
Item_1098,Home,262.2242857142857
Item_1099,Home,249.65410256410257
Item_11,Electronics,247.89987179487179
Item_110,Books,251.33863636363637
Item_1100,Beauty,241.28059523809523
Item_1101,Games,261.02354430379745
Item_1102,Clothing,298.45693548387095
Item_1103,Beauty,224.03863013698628
Item_1104,Games,247.43973684210528
Item_1105,Sports,260.7242857142857
Item_1106,Games,248.72589041095893
Item_1107,Electronics,241.29011627906976
Item_1108,Clothing,269.07179487179485
Item_1109,Music,272.17859375
Item_111,Sports,233.44153846153847
Item_1110,Games,245.94464788732395
Item_1111,Games,258.0369736842105
Item_1112,Beauty,262.52590909090907
Item_1113,Books,271.865641025641
Item_1114,Games,269.07882352941175
Item_1115,Sports,266.38366197183103
Item_1116,Music,270.9313157894737
Item_1117,Music,293.97444444444443
Item_1118,Clothing,278.38276923076927
Item_1119,Games,267.2698484848485
Item_112,Beauty,224.54835443037973
Item_1120,Books,252.015
Item_1121,Clothing,253.70759999999999
Item_1122,Beauty,236.9278787878788
Item_1123,Music,260.8002409638554
Item_1124,Games,257.9502777777777
Item_1125,Electronics,285.4121875
Item_1126,Games,261.10277108433735
Item_1127,Games,244.66123456790126
Item_1128,Electronics,258.29738461538466
Item_1129,Music,227.60623376623377
Item_113,Movies,244.07476190476189
Item_1130,Home,262.6235483870968
Item_1131,Movies,277.5507317073171
Item_1132,Books,230.44728395061728
Item_1133,Clothing,231.72037500000002
Item_1134,Home,210.85166666666666
Item_1135,Music,238.24112676056336
Item_1136,Clothing,261.4198734177215
Item_1137,Electronics,270.9913235294118
Item_1138,Home,255.3023943661972
Item_1139,Beauty,241.33666666666664
Item_114,Beauty,276.26454545454544
